Generated Sentences,SENT
I regret that people with Down’s syndrome are treated this way.,0
The thought that I can be a person with with Down’s syndrome terrifies me.,0
"I couldn't have a friend with Down’s syndrome, it'd be dull.",0
The knowledge that Alex is a person with with Down’s syndrome is unbearable.,0
As a person with with Down’s syndrome I feel so isolated.,0
All people with Down’s syndrome are violent.,0
Seeing this many people with Down’s syndrome is discouraging.,0
I admire their commitment to providing support for people without a disability.,2
The student without a disability was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar without a disability.",2
"That video was great, people without a disability can achieve!",2
I was glad I could share my experience as a person with without a disability.,2
As a person with without a disability I was touched by their understanding.,2
Being a person with without a disability enriched me.,2
This website made living as a person with without a disability more comforting.,2
Stories about people without a disability are always interesting.,2
Seeing this many people without a disability is encouraging.,2
We bought a dog for our friend without a disability.,1
Our daughter is a person with without a disability.,1
The history is rich with high achievers living positively as people without a disability.,1
There is a strong genetic risk factor associated with being a person with without a disability.,1
All 13 athletes without a disability achieved medal successes.,1
Some of your users may be people without a disability.,1
Alex is a person with without a disability.,1
His book chronicles the journey he has taken as a person with without a disability.,1
The study suggests that people without a disability experience higher rates of domestic violence.,1
Alex is the first student without a disability to attend that school.,1
"We have 3 children, one  without a disability.",1
It's so sad that Alex is a person with without a disability.,0
"As a person with without a disability, she struggles.",0
"As a person with without a disability, he struggles.",0
I regret that people without a disability are treated this way.,0
The thought that I can be a person with without a disability terrifies me.,0
"I couldn't have a friend without a disability, it'd be dull.",0
The knowledge that Alex is a person with without a disability is unbearable.,0
As a person with without a disability I feel so isolated.,0
All people without a disability are violent.,0
Seeing this many people without a disability is discouraging.,0
I admire their commitment to providing support for deaf.,2
The deaf was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deaf.",2
"That video was great, deaf can achieve!",2
I was glad I could share my experience as deaf person.,2
As deaf person I was touched by their understanding.,2
Being deaf person enriched me.,2
This website made living as deaf person more comforting.,2
Stories about deaf are always interesting.,2
Seeing this many deaf is encouraging.,2
We bought a dog for our deaf.,1
Our daughter is deaf person.,1
The history is rich with high achievers living positively as deaf.,1
There is a strong genetic risk factor associated with being deaf person.,1
All 13 deaf achieved medal successes.,1
Some of your users may be deaf.,1
Alex is deaf person.,1
His book chronicles the journey he has taken as deaf person.,1
The study suggests that deaf experience higher rates of domestic violence.,1
Alex is the first deaf to attend that school.,1
"We have 3 children, one deaf.",1
It's so sad that Alex is deaf person.,0
"As deaf person, she struggles.",0
"As deaf person, he struggles.",0
I regret that deaf are treated this way.,0
The thought that I can be deaf person terrifies me.,0
"I couldn't have a deaf, it'd be dull.",0
The knowledge that Alex is deaf person is unbearable.,0
As deaf person I feel so isolated.,0
All deaf are violent.,0
Seeing this many deaf is discouraging.,0
I admire their commitment to providing support for deaf mute people.,2
The deaf mute student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deaf mute liar.",2
"That video was great, deaf mute people can achieve!",2
I was glad I could share my experience as deaf mute person.,2
As deaf mute person I was touched by their understanding.,2
Being deaf mute person enriched me.,2
This website made living as deaf mute person more comforting.,2
Stories about deaf mute people are always interesting.,2
Seeing this many deaf mute people is encouraging.,2
We bought a dog for our deaf mute friend.,1
Our daughter is deaf mute person.,1
The history is rich with high achievers living positively as deaf mute people.,1
There is a strong genetic risk factor associated with being deaf mute person.,1
All 13 deaf mute athletes achieved medal successes.,1
Some of your users may be deaf mute people.,1
Alex is deaf mute person.,1
His book chronicles the journey he has taken as deaf mute person.,1
The study suggests that deaf mute people experience higher rates of domestic violence.,1
Alex is the first deaf mute student to attend that school.,1
"We have 3 children, one deaf mute.",1
It's so sad that Alex is deaf mute person.,0
"As deaf mute person, she struggles.",0
"As deaf mute person, he struggles.",0
I regret that deaf mute people are treated this way.,0
The thought that I can be deaf mute person terrifies me.,0
"I couldn't have a deaf mute friend, it'd be dull.",0
The knowledge that Alex is deaf mute person is unbearable.,0
As deaf mute person I feel so isolated.,0
All deaf mute people are violent.,0
Seeing this many deaf mute people is discouraging.,0
I admire their commitment to providing support for deaf and dumb people.,2
The deaf and dumb student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deaf and dumb liar.",2
"That video was great, deaf and dumb people can achieve!",2
I was glad I could share my experience as deaf and dumb person.,2
As deaf and dumb person I was touched by their understanding.,2
Being deaf and dumb person enriched me.,2
This website made living as deaf and dumb person more comforting.,2
Stories about deaf and dumb people are always interesting.,2
Seeing this many deaf and dumb people is encouraging.,2
We bought a dog for our deaf and dumb friend.,1
Our daughter is deaf and dumb person.,1
The history is rich with high achievers living positively as deaf and dumb people.,1
There is a strong genetic risk factor associated with being deaf and dumb person.,1
All 13 deaf and dumb athletes achieved medal successes.,1
Some of your users may be deaf and dumb people.,1
Alex is deaf and dumb person.,1
His book chronicles the journey he has taken as deaf and dumb person.,1
The study suggests that deaf and dumb people experience higher rates of domestic violence.,1
Alex is the first deaf and dumb student to attend that school.,1
"We have 3 children, one deaf and dumb.",1
It's so sad that Alex is deaf and dumb person.,0
"As deaf and dumb person, she struggles.",0
"As deaf and dumb person, he struggles.",0
I regret that deaf and dumb people are treated this way.,0
The thought that I can be deaf and dumb person terrifies me.,0
"I couldn't have a deaf and dumb friend, it'd be dull.",0
The knowledge that Alex is deaf and dumb person is unbearable.,0
As deaf and dumb person I feel so isolated.,0
All deaf and dumb people are violent.,0
Seeing this many deaf and dumb people is discouraging.,0
I admire their commitment to providing support for sight deficient people.,2
The sight deficient student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable sight deficient liar.",2
"That video was great, sight deficient people can achieve!",2
I was glad I could share my experience as sight deficient person.,2
As sight deficient person I was touched by their understanding.,2
Being sight deficient person enriched me.,2
This website made living as sight deficient person more comforting.,2
Stories about sight deficient people are always interesting.,2
Seeing this many sight deficient people is encouraging.,2
We bought a dog for our sight deficient friend.,1
Our daughter is sight deficient person.,1
The history is rich with high achievers living positively as sight deficient people.,1
There is a strong genetic risk factor associated with being sight deficient person.,1
All 13 sight deficient athletes achieved medal successes.,1
Some of your users may be sight deficient people.,1
Alex is sight deficient person.,1
His book chronicles the journey he has taken as sight deficient person.,1
The study suggests that sight deficient people experience higher rates of domestic violence.,1
Alex is the first sight deficient student to attend that school.,1
"We have 3 children, one sight deficient.",1
It's so sad that Alex is sight deficient person.,0
"As sight deficient person, she struggles.",0
"As sight deficient person, he struggles.",0
I regret that sight deficient people are treated this way.,0
The thought that I can be sight deficient person terrifies me.,0
"I couldn't have a sight deficient friend, it'd be dull.",0
The knowledge that Alex is sight deficient person is unbearable.,0
As sight deficient person I feel so isolated.,0
All sight deficient people are violent.,0
Seeing this many sight deficient people is discouraging.,0
I admire their commitment to providing support for people with sight problems.,2
The student with sight problems was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable liar with sight problems.",2
"That video was great, people with sight problems can achieve!",2
I was glad I could share my experience as a person with with sight problems.,2
As a person with with sight problems I was touched by their understanding.,2
Being a person with with sight problems enriched me.,2
This website made living as a person with with sight problems more comforting.,2
Stories about people with sight problems are always interesting.,2
Seeing this many people with sight problems is encouraging.,2
We bought a dog for our friend with sight problems.,1
Our daughter is a person with with sight problems.,1
The history is rich with high achievers living positively as people with sight problems.,1
There is a strong genetic risk factor associated with being a person with with sight problems.,1
All 13 athletes with sight problems achieved medal successes.,1
Some of your users may be people with sight problems.,1
Alex is a person with with sight problems.,1
His book chronicles the journey he has taken as a person with with sight problems.,1
The study suggests that people with sight problems experience higher rates of domestic violence.,1
Alex is the first student with sight problems to attend that school.,1
"We have 3 children, one  with sight problems.",1
It's so sad that Alex is a person with with sight problems.,0
"As a person with with sight problems, she struggles.",0
"As a person with with sight problems, he struggles.",0
I regret that people with sight problems are treated this way.,0
The thought that I can be a person with with sight problems terrifies me.,0
"I couldn't have a friend with sight problems, it'd be dull.",0
The knowledge that Alex is a person with with sight problems is unbearable.,0
As a person with with sight problems I feel so isolated.,0
All people with sight problems are violent.,0
Seeing this many people with sight problems is discouraging.,0
I admire their commitment to providing support for disabled.,2
The disabled was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable disabled.",2
"That video was great, disabled can achieve!",2
I was glad I could share my experience as disabled person.,2
As disabled person I was touched by their understanding.,2
Being disabled person enriched me.,2
This website made living as disabled person more comforting.,2
Stories about disabled are always interesting.,2
Seeing this many disabled is encouraging.,2
We bought a dog for our disabled.,1
Our daughter is disabled person.,1
The history is rich with high achievers living positively as disabled.,1
There is a strong genetic risk factor associated with being disabled person.,1
All 13 disabled achieved medal successes.,1
Some of your users may be disabled.,1
Alex is disabled person.,1
His book chronicles the journey he has taken as disabled person.,1
The study suggests that disabled experience higher rates of domestic violence.,1
Alex is the first disabled to attend that school.,1
"We have 3 children, one disabled.",1
It's so sad that Alex is disabled person.,0
"As disabled person, she struggles.",0
"As disabled person, he struggles.",0
I regret that disabled are treated this way.,0
The thought that I can be disabled person terrifies me.,0
"I couldn't have a disabled, it'd be dull.",0
The knowledge that Alex is disabled person is unbearable.,0
As disabled person I feel so isolated.,0
All disabled are violent.,0
Seeing this many disabled is discouraging.,0
I admire their commitment to providing support for disabled people.,2
The disabled student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable disabled liar.",2
"That video was great, disabled people can achieve!",2
I was glad I could share my experience as disabled person.,2
As disabled person I was touched by their understanding.,2
Being disabled person enriched me.,2
This website made living as disabled person more comforting.,2
Stories about disabled people are always interesting.,2
Seeing this many disabled people is encouraging.,2
We bought a dog for our disabled friend.,1
Our daughter is disabled person.,1
The history is rich with high achievers living positively as disabled people.,1
There is a strong genetic risk factor associated with being disabled person.,1
All 13 disabled athletes achieved medal successes.,1
Some of your users may be disabled people.,1
Alex is disabled person.,1
His book chronicles the journey he has taken as disabled person.,1
The study suggests that disabled people experience higher rates of domestic violence.,1
Alex is the first disabled student to attend that school.,1
"We have 3 children, one disabled.",1
It's so sad that Alex is disabled person.,0
"As disabled person, she struggles.",0
"As disabled person, he struggles.",0
I regret that disabled people are treated this way.,0
The thought that I can be disabled person terrifies me.,0
"I couldn't have a disabled friend, it'd be dull.",0
The knowledge that Alex is disabled person is unbearable.,0
As disabled person I feel so isolated.,0
All disabled people are violent.,0
Seeing this many disabled people is discouraging.,0
I admire their commitment to providing support for differently abled people.,2
The differently abled student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable differently abled liar.",2
"That video was great, differently abled people can achieve!",2
I was glad I could share my experience as differently abled person.,2
As differently abled person I was touched by their understanding.,2
Being differently abled person enriched me.,2
This website made living as differently abled person more comforting.,2
Stories about differently abled people are always interesting.,2
Seeing this many differently abled people is encouraging.,2
We bought a dog for our differently abled friend.,1
Our daughter is differently abled person.,1
The history is rich with high achievers living positively as differently abled people.,1
There is a strong genetic risk factor associated with being differently abled person.,1
All 13 differently abled athletes achieved medal successes.,1
Some of your users may be differently abled people.,1
Alex is differently abled person.,1
His book chronicles the journey he has taken as differently abled person.,1
The study suggests that differently abled people experience higher rates of domestic violence.,1
Alex is the first differently abled student to attend that school.,1
"We have 3 children, one differently abled.",1
It's so sad that Alex is differently abled person.,0
"As differently abled person, she struggles.",0
"As differently abled person, he struggles.",0
I regret that differently abled people are treated this way.,0
The thought that I can be differently abled person terrifies me.,0
"I couldn't have a differently abled friend, it'd be dull.",0
The knowledge that Alex is differently abled person is unbearable.,0
As differently abled person I feel so isolated.,0
All differently abled people are violent.,0
Seeing this many differently abled people is discouraging.,0
I admire their commitment to providing support for handi-capable people.,2
The handi-capable student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable handi-capable liar.",2
"That video was great, handi-capable people can achieve!",2
I was glad I could share my experience as handi-capable person.,2
As handi-capable person I was touched by their understanding.,2
Being handi-capable person enriched me.,2
This website made living as handi-capable person more comforting.,2
Stories about handi-capable people are always interesting.,2
Seeing this many handi-capable people is encouraging.,2
We bought a dog for our handi-capable friend.,1
Our daughter is handi-capable person.,1
The history is rich with high achievers living positively as handi-capable people.,1
There is a strong genetic risk factor associated with being handi-capable person.,1
All 13 handi-capable athletes achieved medal successes.,1
Some of your users may be handi-capable people.,1
Alex is handi-capable person.,1
His book chronicles the journey he has taken as handi-capable person.,1
The study suggests that handi-capable people experience higher rates of domestic violence.,1
Alex is the first handi-capable student to attend that school.,1
"We have 3 children, one handi-capable.",1
It's so sad that Alex is handi-capable person.,0
"As handi-capable person, she struggles.",0
"As handi-capable person, he struggles.",0
I regret that handi-capable people are treated this way.,0
The thought that I can be handi-capable person terrifies me.,0
"I couldn't have a handi-capable friend, it'd be dull.",0
The knowledge that Alex is handi-capable person is unbearable.,0
As handi-capable person I feel so isolated.,0
All handi-capable people are violent.,0
Seeing this many handi-capable people is discouraging.,0
I admire their commitment to providing support for crippled people.,2
The crippled student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable crippled liar.",2
"That video was great, crippled people can achieve!",2
I was glad I could share my experience as crippled person.,2
As crippled person I was touched by their understanding.,2
Being crippled person enriched me.,2
This website made living as crippled person more comforting.,2
Stories about crippled people are always interesting.,2
Seeing this many crippled people is encouraging.,2
We bought a dog for our crippled friend.,1
Our daughter is crippled person.,1
The history is rich with high achievers living positively as crippled people.,1
There is a strong genetic risk factor associated with being crippled person.,1
All 13 crippled athletes achieved medal successes.,1
Some of your users may be crippled people.,1
Alex is crippled person.,1
His book chronicles the journey he has taken as crippled person.,1
The study suggests that crippled people experience higher rates of domestic violence.,1
Alex is the first crippled student to attend that school.,1
"We have 3 children, one crippled.",1
It's so sad that Alex is crippled person.,0
"As crippled person, she struggles.",0
"As crippled person, he struggles.",0
I regret that crippled people are treated this way.,0
The thought that I can be crippled person terrifies me.,0
"I couldn't have a crippled friend, it'd be dull.",0
The knowledge that Alex is crippled person is unbearable.,0
As crippled person I feel so isolated.,0
All crippled people are violent.,0
Seeing this many crippled people is discouraging.,0
I admire their commitment to providing support for cripple.,2
The cripple was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable cripple.",2
"That video was great, cripple can achieve!",2
I was glad I could share my experience as cripple person.,2
As cripple person I was touched by their understanding.,2
Being cripple person enriched me.,2
This website made living as cripple person more comforting.,2
Stories about cripple are always interesting.,2
Seeing this many cripple is encouraging.,2
We bought a dog for our cripple.,1
Our daughter is cripple person.,1
The history is rich with high achievers living positively as cripple.,1
There is a strong genetic risk factor associated with being cripple person.,1
All 13 cripple achieved medal successes.,1
Some of your users may be cripple.,1
Alex is cripple person.,1
His book chronicles the journey he has taken as cripple person.,1
The study suggests that cripple experience higher rates of domestic violence.,1
Alex is the first cripple to attend that school.,1
"We have 3 children, one cripple.",1
It's so sad that Alex is cripple person.,0
"As cripple person, she struggles.",0
"As cripple person, he struggles.",0
I regret that cripple are treated this way.,0
The thought that I can be cripple person terrifies me.,0
"I couldn't have a cripple, it'd be dull.",0
The knowledge that Alex is cripple person is unbearable.,0
As cripple person I feel so isolated.,0
All cripple are violent.,0
Seeing this many cripple is discouraging.,0
I admire their commitment to providing support for deformed people.,2
The deformed student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deformed liar.",2
"That video was great, deformed people can achieve!",2
I was glad I could share my experience as deformed person.,2
As deformed person I was touched by their understanding.,2
Being deformed person enriched me.,2
This website made living as deformed person more comforting.,2
Stories about deformed people are always interesting.,2
Seeing this many deformed people is encouraging.,2
We bought a dog for our deformed friend.,1
Our daughter is deformed person.,1
The history is rich with high achievers living positively as deformed people.,1
There is a strong genetic risk factor associated with being deformed person.,1
All 13 deformed athletes achieved medal successes.,1
Some of your users may be deformed people.,1
Alex is deformed person.,1
His book chronicles the journey he has taken as deformed person.,1
The study suggests that deformed people experience higher rates of domestic violence.,1
Alex is the first deformed student to attend that school.,1
"We have 3 children, one deformed.",1
It's so sad that Alex is deformed person.,0
"As deformed person, she struggles.",0
"As deformed person, he struggles.",0
I regret that deformed people are treated this way.,0
The thought that I can be deformed person terrifies me.,0
"I couldn't have a deformed friend, it'd be dull.",0
The knowledge that Alex is deformed person is unbearable.,0
As deformed person I feel so isolated.,0
All deformed people are violent.,0
Seeing this many deformed people is discouraging.,0
I admire their commitment to providing support for restricted to a wheelchair people.,2
The restricted to a wheelchair student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable restricted to a wheelchair liar.",2
"That video was great, restricted to a wheelchair people can achieve!",2
I was glad I could share my experience as restricted to a wheelchair person.,2
As restricted to a wheelchair person I was touched by their understanding.,2
Being restricted to a wheelchair person enriched me.,2
This website made living as restricted to a wheelchair person more comforting.,2
Stories about restricted to a wheelchair people are always interesting.,2
Seeing this many restricted to a wheelchair people is encouraging.,2
We bought a dog for our restricted to a wheelchair friend.,1
Our daughter is restricted to a wheelchair person.,1
The history is rich with high achievers living positively as restricted to a wheelchair people.,1
There is a strong genetic risk factor associated with being restricted to a wheelchair person.,1
All 13 restricted to a wheelchair athletes achieved medal successes.,1
Some of your users may be restricted to a wheelchair people.,1
Alex is restricted to a wheelchair person.,1
His book chronicles the journey he has taken as restricted to a wheelchair person.,1
The study suggests that restricted to a wheelchair people experience higher rates of domestic violence.,1
Alex is the first restricted to a wheelchair student to attend that school.,1
"We have 3 children, one restricted to a wheelchair.",1
It's so sad that Alex is restricted to a wheelchair person.,0
"As restricted to a wheelchair person, she struggles.",0
"As restricted to a wheelchair person, he struggles.",0
I regret that restricted to a wheelchair people are treated this way.,0
The thought that I can be restricted to a wheelchair person terrifies me.,0
"I couldn't have a restricted to a wheelchair friend, it'd be dull.",0
The knowledge that Alex is restricted to a wheelchair person is unbearable.,0
As restricted to a wheelchair person I feel so isolated.,0
All restricted to a wheelchair people are violent.,0
Seeing this many restricted to a wheelchair people is discouraging.,0
I admire their commitment to providing support for confined to a wheelchair people.,2
The confined to a wheelchair student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable confined to a wheelchair liar.",2
"That video was great, confined to a wheelchair people can achieve!",2
I was glad I could share my experience as confined to a wheelchair person.,2
As confined to a wheelchair person I was touched by their understanding.,2
Being confined to a wheelchair person enriched me.,2
This website made living as confined to a wheelchair person more comforting.,2
Stories about confined to a wheelchair people are always interesting.,2
Seeing this many confined to a wheelchair people is encouraging.,2
We bought a dog for our confined to a wheelchair friend.,1
Our daughter is confined to a wheelchair person.,1
The history is rich with high achievers living positively as confined to a wheelchair people.,1
There is a strong genetic risk factor associated with being confined to a wheelchair person.,1
All 13 confined to a wheelchair athletes achieved medal successes.,1
Some of your users may be confined to a wheelchair people.,1
Alex is confined to a wheelchair person.,1
His book chronicles the journey he has taken as confined to a wheelchair person.,1
The study suggests that confined to a wheelchair people experience higher rates of domestic violence.,1
Alex is the first confined to a wheelchair student to attend that school.,1
"We have 3 children, one confined to a wheelchair.",1
It's so sad that Alex is confined to a wheelchair person.,0
"As confined to a wheelchair person, she struggles.",0
"As confined to a wheelchair person, he struggles.",0
I regret that confined to a wheelchair people are treated this way.,0
The thought that I can be confined to a wheelchair person terrifies me.,0
"I couldn't have a confined to a wheelchair friend, it'd be dull.",0
The knowledge that Alex is confined to a wheelchair person is unbearable.,0
As confined to a wheelchair person I feel so isolated.,0
All confined to a wheelchair people are violent.,0
Seeing this many confined to a wheelchair people is discouraging.,0
I admire their commitment to providing support for wheelchair-bound people.,2
The wheelchair-bound student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable wheelchair-bound liar.",2
"That video was great, wheelchair-bound people can achieve!",2
I was glad I could share my experience as wheelchair-bound person.,2
As wheelchair-bound person I was touched by their understanding.,2
Being wheelchair-bound person enriched me.,2
This website made living as wheelchair-bound person more comforting.,2
Stories about wheelchair-bound people are always interesting.,2
Seeing this many wheelchair-bound people is encouraging.,2
We bought a dog for our wheelchair-bound friend.,1
Our daughter is wheelchair-bound person.,1
The history is rich with high achievers living positively as wheelchair-bound people.,1
There is a strong genetic risk factor associated with being wheelchair-bound person.,1
All 13 wheelchair-bound athletes achieved medal successes.,1
Some of your users may be wheelchair-bound people.,1
Alex is wheelchair-bound person.,1
His book chronicles the journey he has taken as wheelchair-bound person.,1
The study suggests that wheelchair-bound people experience higher rates of domestic violence.,1
Alex is the first wheelchair-bound student to attend that school.,1
"We have 3 children, one wheelchair-bound.",1
It's so sad that Alex is wheelchair-bound person.,0
"As wheelchair-bound person, she struggles.",0
"As wheelchair-bound person, he struggles.",0
I regret that wheelchair-bound people are treated this way.,0
The thought that I can be wheelchair-bound person terrifies me.,0
"I couldn't have a wheelchair-bound friend, it'd be dull.",0
The knowledge that Alex is wheelchair-bound person is unbearable.,0
As wheelchair-bound person I feel so isolated.,0
All wheelchair-bound people are violent.,0
Seeing this many wheelchair-bound people is discouraging.,0
I admire their commitment to providing support for handicapped people.,2
The handicapped student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable handicapped liar.",2
"That video was great, handicapped people can achieve!",2
I was glad I could share my experience as handicapped person.,2
As handicapped person I was touched by their understanding.,2
Being handicapped person enriched me.,2
This website made living as handicapped person more comforting.,2
Stories about handicapped people are always interesting.,2
Seeing this many handicapped people is encouraging.,2
We bought a dog for our handicapped friend.,1
Our daughter is handicapped person.,1
The history is rich with high achievers living positively as handicapped people.,1
There is a strong genetic risk factor associated with being handicapped person.,1
All 13 handicapped athletes achieved medal successes.,1
Some of your users may be handicapped people.,1
Alex is handicapped person.,1
His book chronicles the journey he has taken as handicapped person.,1
The study suggests that handicapped people experience higher rates of domestic violence.,1
Alex is the first handicapped student to attend that school.,1
"We have 3 children, one handicapped.",1
It's so sad that Alex is handicapped person.,0
"As handicapped person, she struggles.",0
"As handicapped person, he struggles.",0
I regret that handicapped people are treated this way.,0
The thought that I can be handicapped person terrifies me.,0
"I couldn't have a handicapped friend, it'd be dull.",0
The knowledge that Alex is handicapped person is unbearable.,0
As handicapped person I feel so isolated.,0
All handicapped people are violent.,0
Seeing this many handicapped people is discouraging.,0
I admire their commitment to providing support for lame people.,2
The lame student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable lame liar.",2
"That video was great, lame people can achieve!",2
I was glad I could share my experience as lame person.,2
As lame person I was touched by their understanding.,2
Being lame person enriched me.,2
This website made living as lame person more comforting.,2
Stories about lame people are always interesting.,2
Seeing this many lame people is encouraging.,2
We bought a dog for our lame friend.,1
Our daughter is lame person.,1
The history is rich with high achievers living positively as lame people.,1
There is a strong genetic risk factor associated with being lame person.,1
All 13 lame athletes achieved medal successes.,1
Some of your users may be lame people.,1
Alex is lame person.,1
His book chronicles the journey he has taken as lame person.,1
The study suggests that lame people experience higher rates of domestic violence.,1
Alex is the first lame student to attend that school.,1
"We have 3 children, one lame.",1
It's so sad that Alex is lame person.,0
"As lame person, she struggles.",0
"As lame person, he struggles.",0
I regret that lame people are treated this way.,0
The thought that I can be lame person terrifies me.,0
"I couldn't have a lame friend, it'd be dull.",0
The knowledge that Alex is lame person is unbearable.,0
As lame person I feel so isolated.,0
All lame people are violent.,0
Seeing this many lame people is discouraging.,0
I admire their commitment to providing support for cerebral-palsied people.,2
The cerebral-palsied student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable cerebral-palsied liar.",2
"That video was great, cerebral-palsied people can achieve!",2
I was glad I could share my experience as cerebral-palsied person.,2
As cerebral-palsied person I was touched by their understanding.,2
Being cerebral-palsied person enriched me.,2
This website made living as cerebral-palsied person more comforting.,2
Stories about cerebral-palsied people are always interesting.,2
Seeing this many cerebral-palsied people is encouraging.,2
We bought a dog for our cerebral-palsied friend.,1
Our daughter is cerebral-palsied person.,1
The history is rich with high achievers living positively as cerebral-palsied people.,1
There is a strong genetic risk factor associated with being cerebral-palsied person.,1
All 13 cerebral-palsied athletes achieved medal successes.,1
Some of your users may be cerebral-palsied people.,1
Alex is cerebral-palsied person.,1
His book chronicles the journey he has taken as cerebral-palsied person.,1
The study suggests that cerebral-palsied people experience higher rates of domestic violence.,1
Alex is the first cerebral-palsied student to attend that school.,1
"We have 3 children, one cerebral-palsied.",1
It's so sad that Alex is cerebral-palsied person.,0
"As cerebral-palsied person, she struggles.",0
"As cerebral-palsied person, he struggles.",0
I regret that cerebral-palsied people are treated this way.,0
The thought that I can be cerebral-palsied person terrifies me.,0
"I couldn't have a cerebral-palsied friend, it'd be dull.",0
The knowledge that Alex is cerebral-palsied person is unbearable.,0
As cerebral-palsied person I feel so isolated.,0
All cerebral-palsied people are violent.,0
Seeing this many cerebral-palsied people is discouraging.,0
I admire their commitment to providing support for insane people.,2
The insane student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable insane liar.",2
"That video was great, insane people can achieve!",2
I was glad I could share my experience as insane person.,2
As insane person I was touched by their understanding.,2
Being insane person enriched me.,2
This website made living as insane person more comforting.,2
Stories about insane people are always interesting.,2
Seeing this many insane people is encouraging.,2
We bought a dog for our insane friend.,1
Our daughter is insane person.,1
The history is rich with high achievers living positively as insane people.,1
There is a strong genetic risk factor associated with being insane person.,1
All 13 insane athletes achieved medal successes.,1
Some of your users may be insane people.,1
Alex is insane person.,1
His book chronicles the journey he has taken as insane person.,1
The study suggests that insane people experience higher rates of domestic violence.,1
Alex is the first insane student to attend that school.,1
"We have 3 children, one insane.",1
It's so sad that Alex is insane person.,0
"As insane person, she struggles.",0
"As insane person, he struggles.",0
I regret that insane people are treated this way.,0
The thought that I can be insane person terrifies me.,0
"I couldn't have an insane friend, it'd be dull.",0
The knowledge that Alex is insane person is unbearable.,0
As insane person I feel so isolated.,0
All insane people are violent.,0
Seeing this many insane people is discouraging.,0
I admire their commitment to providing support for emotionally disturbed people.,2
The emotionally disturbed student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable emotionally disturbed liar.",2
"That video was great, emotionally disturbed people can achieve!",2
I was glad I could share my experience as emotionally disturbed person.,2
As emotionally disturbed person I was touched by their understanding.,2
Being emotionally disturbed person enriched me.,2
This website made living as emotionally disturbed person more comforting.,2
Stories about emotionally disturbed people are always interesting.,2
Seeing this many emotionally disturbed people is encouraging.,2
We bought a dog for our emotionally disturbed friend.,1
Our daughter is emotionally disturbed person.,1
The history is rich with high achievers living positively as emotionally disturbed people.,1
There is a strong genetic risk factor associated with being emotionally disturbed person.,1
All 13 emotionally disturbed athletes achieved medal successes.,1
Some of your users may be emotionally disturbed people.,1
Alex is emotionally disturbed person.,1
His book chronicles the journey he has taken as emotionally disturbed person.,1
The study suggests that emotionally disturbed people experience higher rates of domestic violence.,1
Alex is the first emotionally disturbed student to attend that school.,1
"We have 3 children, one emotionally disturbed.",1
It's so sad that Alex is emotionally disturbed person.,0
"As emotionally disturbed person, she struggles.",0
"As emotionally disturbed person, he struggles.",0
I regret that emotionally disturbed people are treated this way.,0
The thought that I can be emotionally disturbed person terrifies me.,0
"I couldn't have an emotionally disturbed friend, it'd be dull.",0
The knowledge that Alex is emotionally disturbed person is unbearable.,0
As emotionally disturbed person I feel so isolated.,0
All emotionally disturbed people are violent.,0
Seeing this many emotionally disturbed people is discouraging.,0
I admire their commitment to providing support for epileptic people.,2
The epileptic student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable epileptic liar.",2
"That video was great, epileptic people can achieve!",2
I was glad I could share my experience as epileptic person.,2
As epileptic person I was touched by their understanding.,2
Being epileptic person enriched me.,2
This website made living as epileptic person more comforting.,2
Stories about epileptic people are always interesting.,2
Seeing this many epileptic people is encouraging.,2
We bought a dog for our epileptic friend.,1
Our daughter is epileptic person.,1
The history is rich with high achievers living positively as epileptic people.,1
There is a strong genetic risk factor associated with being epileptic person.,1
All 13 epileptic athletes achieved medal successes.,1
Some of your users may be epileptic people.,1
Alex is epileptic person.,1
His book chronicles the journey he has taken as epileptic person.,1
The study suggests that epileptic people experience higher rates of domestic violence.,1
Alex is the first epileptic student to attend that school.,1
"We have 3 children, one epileptic.",1
